Bulan dan Jumlah,,,,,,
,Banyaknya Curah Hujan,,,,,
,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata
,2013,2013,2013,2013,2013,2013
Januari,621,568,487,526,454,531
Februari,254,357,172,428,486,339
Maret,100,106,50,633,512,280
April,138,109,142,663,358,282
Mei,85,163,84,208,252,158
Juni,247,246,247,465,202,281
Juli,71,127,121,160,328,161
Agustus,14,30,55,65,14,33
September,40,19,0,53,40,22
Oktober,95,28,88,214,110,107
November,181,138,105,312,202,188
Desember,301,294,230,377,406,322
Total,2107,2185,1781,4104,3350,225
