Bulan dan Jumlah,,,,,,
,Banyaknya Curah Hujan,,,,,
,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata
,2016,2016,2016,2016,2016,2016
Januari,183,234,217,296,451,276
Februari,343,312,215,599,538,401
Maret,153,103,87,397,225,193
April,239,134,177,384,561,299
Mei,171,240,202,321,311,249
Juni,266,228,192,326,288,260
Juli,177,324,210,322,283,263
Agustus,78,122,93,123,35,90
September,387,264,278,410,257,319
Oktober,230,147,160,315,429,256
November,231,327,223,356,380,303
Desember,188,184,172,510,370,285
Total,2646,2619,2226,4359,4128,266
