Bulan dan Jumlah,,,,,,
,Banyaknya Curah Hujan,,,,,
,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata
,2015,2015,2015,2015,2015,2015
Januari,429,463,232,505,340,394
Februari,232,317,176,580,335,328
Maret,192,177,196,379,265,242
April,187,115,94,383,464,249
Mei,100,74,77,183,153,117
Juni,68,27,55,5,3,32
Juli,41,3,31,3,41,15
Agustus,0,18,0,18,0,4
September,2,0,0,0,2,0.4
Oktober,0,25,8,25,0,7
November,121,191,85,201,206,161
Desember,236,182,252,300,191,232
Total,1606,1564,1206,2564,1959,148
