Bulan dan Jumlah,,,,,,
,Banyaknya Curah Hujan,,,,,
,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata
,2020,2020,2020,2020,2020,2020
Januari,345,539,375,360,473,418
Februari,353,330,260,606,566,423
Maret,256,258,210,474,532,346
April,149,93,183,513,254,238
Mei,233,178,243,330,339,265
Juni,-,-,-,-,-,-
Juli,80,121,59,77,113,90
Agustus,53,38,44,46,127,62
September,135,50,100,100,143,106
Oktober,134,65,122,460,186,193
November,206,282,185,543,469,337
Desember,337,155,298,499,802,418
Total,2281,2109,2079,4008,4004,263
