Bulan dan Jumlah,,,,,,
,Banyaknya Curah Hujan,,,,,
,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata
,2017,2017,2017,2017,2017,2017
Januari,289,334,308,447,494,374
Februari,391,399,398,350,524,412
Maret,168,98,120,474,317,235
April,91,55,90,490,187,183
Mei,29,139,44,294,266,154
Juni,158,136,172,225,212,181
Juli,65,103,66,57,27,64
Agustus,5,-,-,-,-,1
September,21,45,39,64,87,51
Oktober,177,111,316,336,225,233
November,257,161,297,736,640,418
Desember,242,350,162,413,349,303
Total,1893,1931,2012,3886,3328,217
