Bulan dan Jumlah,,,,,,
,Banyaknya Curah Hujan,,,,,
,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata
,2021,2021,2021,2021,2021,2021
Januari,209,384,290,943,813,528
Februari,514,715,727,449,639,609
Maret,151,242,153,363,312,244
April,65,105,60,171,183,117
Mei,174,111,253,312,251,220
Juni,100,95,237,511,271,243
Juli,18,5,22,23,4,14
Agustus,13,38,19,190,78,68
September,92,215,64,205,174,150
Oktober,28,15,16,121,241,84
November,279,325,217,462,278,312
Desember,93,167,71,515,935,356
Total,1736,2417,2129,4265,4179,245
