Bulan dan Jumlah,,,,,,
,Banyaknya Curah Hujan,,,,,
,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata
,2018,2018,2018,2018,2018,2018
Januari,296,254,288,474,457,354
Februari,604,472,631,726,656,618
Maret,160,213,175,340,354,248
April,106,230,162,233,294,205
Mei,59,70,40,114,75,72
Juni,34,20,59,110,122,69
Juli,-,-,-,-,-,-
Agustus,-,-,-,-,95,19
September,-,-,-,70,-,14
Oktober,7,22,12,-,34,19
November,62,115,104,339,195,163
Desember,146,251,160,450,386,279
Total,1474,1647,1631,2856,2668,187
