Bulan dan Jumlah,,,,,,
,Banyaknya Curah Hujan,,,,,
,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata
,2019,2019,2019,2019,2019,2019
Januari,265,414,359,438,390,373
Februari,214,228,203,475,479,320
Maret,233,240,181,524,507,337
April,235,166,239,574,461,335
Mei,82,161,149,294,324,202
Juni,-,-,-,-,-,-
Juli,5,37,7,4,34,17
Agustus,-,-,3,25,-,6
September,-,4,-,5,1,2
Oktober,-,-,19,4,10,7
November,10,15,50,157,133,73
Desember,143,144,252,295,251,217
Total,1187,1409,1462,2795,2590,172
