Bulan dan Jumlah,Kendal,Weleri,Kaliwungu,Boja,Sukorejo,rata-rata,Tahun,Bulan_num
Juli,-,6,10,55,56,25,2023,7.0
Agustus,-,-,-,-,-,-,2023,8.0
September,-,-,-,-,-,-,2023,9.0
Oktober,35,10,38,23,17,25,2023,10.0
November,124,16,207,265,149,152,2023,11.0
Desember,98,125,249,524,322,264,2023,12.0
Total,1240,1082,1487,2622,2134,143,2023,
Januari,241,139,133,336,464,263,2024,1.0
Februari,87,185,82,532,503,278,2024,2.0
Maret,314,366,183,455,548,373,2024,3.0
April,313,214,188,327,449,298,2024,4.0
Mei,27,50,35,200,156,94,2024,5.0
Juni,102,56,42,104,134,88,2024,6.0
Juli,32,33,4,35,50,31,2024,7.0
Agustus,28,3,8,42,13,19,2024,8.0
September,27,74,30,178,190,100,2024,9.0
Oktober,18,-,32,60,65,35,2024,10.0
November,205,241,116,477,621,332,2024,11.0
Desember,286,331,129,287,388,284,2024,12.0
Total,1680,1692,982,3033,3581,183,2024,
